#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_1400_6           -          K06306               -            1.1e-37  129.3   0.2   4.6e-19   67.9   0.0   2.2   1   1   1   2   2   0   2 # 7359 # 9002 # -1 # ID=117_6;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.592
NC_022357.1_1149     -          K06306               -            3.8e-32  111.1   5.8   2.2e-17   62.4   0.4   2.2   1   1   1   2   2   0   2 # 1182399 # 1184108 # -1 # ID=1_1149;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.562
NZ_DF967563.1_9      -          K06306               -            8.1e-27   93.5   0.7   5.3e-18   64.4   0.3   2.2   1   1   0   2   2   0   2 # 11270 # 12988 # -1 # ID=35_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.575
k99_700_16           -          K06306               -            1.2e-14   53.4   3.1   1.9e-12   46.1   3.1   2.1   1   1   0   1   1   0   1 # 14070 # 15638 # 1 # ID=75_16;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.720
k99_700_17           -          K06306               -            1.2e-14   53.4   3.1   1.9e-12   46.1   3.1   2.1   1   1   0   1   1   0   1 # 15791 # 17359 # -1 # ID=75_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.720
k99_168_9            -          K06306               -            2.9e-13   48.8   0.0   4.2e-13   48.3   0.0   1.3   1   0   0   1   1   0   1 # 9592 # 10731 # -1 # ID=16_9;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.708
NC_022357.1_1104     -          K06306               -            6.3e-08   31.2   0.0   8.7e-08   30.8   0.0   1.1   1   0   0   1   1   0   1 # 1123311 # 1124204 # 1 # ID=1_1104;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.549
k99_2217_9           -          K06306               -            6.9e-08   31.1   0.0   9.7e-08   30.6   0.0   1.2   1   0   0   1   1   0   1 # 10280 # 11323 # -1 # ID=211_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.566
NZ_DF967524.1_72     -          K06306               -              2e-07   29.6   0.0   2.7e-07   29.2   0.0   1.2   1   0   0   1   1   0   1 # 70635 # 71528 # 1 # ID=74_72;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.539
NZ_DF967522.1_242    -          K06306               -              0.023   12.9   0.0     0.031   12.5   0.0   1.2   1   0   0   1   1   0   0 # 287804 # 288838 # -1 # ID=76_242;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.546
NC_022357.1_9        -          K06306               -              0.032   12.5   0.0     0.042   12.1   0.0   1.1   1   0   0   1   1   0   0 # 10880 # 11914 # -1 # ID=1_9;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.544
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K06306.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K06306.hmm.total.hmmsearch_result.txt --domT 231.93 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K06306.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:07:10 2020
# [ok]
