#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_1145_92          -          K00971               -           8.4e-138  459.9   0.0  9.5e-138  459.7   0.0   1.0   1   0   0   1   1   1   1 # 97116 # 98555 # -1 # ID=92_92;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.563
k99_1333_1           -          K00971               -           9.7e-138  459.7   0.1  1.1e-137  459.5   0.1   1.0   1   0   0   1   1   1   1 # 246 # 1778 # 1 # ID=144_1;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.704
NZ_DF967535.1_109    -          K00971               -           1.3e-133  446.0   0.0  1.6e-133  445.8   0.0   1.0   1   0   0   1   1   1   1 # 107925 # 109436 # -1 # ID=63_109;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.542
NC_022357.1_1333     -          K00971               -           2.1e-133  445.4   0.0  2.4e-133  445.2   0.0   1.0   1   0   0   1   1   1   1 # 1371900 # 1373318 # 1 # ID=1_1333;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.538
NZ_DF967541.1_11     -          K00971               -            1.8e-06   26.7   1.2    0.0018   16.8   0.8   2.4   2   1   0   2   2   0   2 # 11100 # 12377 # 1 # ID=57_11;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.582
k99_2177_13          -          K00971               -            1.9e-06   26.6   1.5   1.9e-05   23.4   1.5   2.2   1   1   0   1   1   0   1 # 15168 # 16457 # 1 # ID=249_13;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.653
k99_447_8            -          K00971               -              5e-06   25.3   0.1   1.4e-05   23.8   0.0   1.7   2   0   0   2   2   0   1 # 8618 # 9529 # 1 # ID=50_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.681
NC_022357.1_1882     -          K00971               -            5.2e-06   25.2   1.3    0.0062   15.1   0.8   2.3   2   1   0   2   2   0   2 # 1954623 # 1955900 # -1 # ID=1_1882;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.559
k99_1497_32          -          K00971               -            1.1e-05   24.1   0.0   1.5e-05   23.7   0.0   1.2   1   0   0   1   1   0   1 # 36749 # 38155 # -1 # ID=124_32;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.580
k99_1145_98          -          K00971               -            1.2e-05   24.0   0.0   0.00041   19.0   0.0   2.1   2   0   0   2   2   0   1 # 103206 # 104102 # -1 # ID=92_98;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.590
k99_482_2            -          K00971               -            2.6e-05   22.9   0.3   3.9e-05   22.3   0.3   1.1   1   0   0   1   1   0   1 # 1975 # 3324 # -1 # ID=53_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.720
