#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_1145_87          -          K19588               -           2.8e-131  438.1   0.0  3.5e-131  437.7   0.0   1.0   1   0   0   1   1   0   1 # 92222 # 93688 # -1 # ID=92_87;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.580
k99_1221_13          -          K19588               -           2.9e-118  395.1   0.0  3.2e-118  395.0   0.0   1.0   1   0   0   1   1   0   1 # 10189 # 11685 # 1 # ID=133_13;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.686
k99_1110_12          -          K19588               -           7.6e-118  393.7   0.5  9.2e-118  393.5   0.5   1.0   1   0   0   1   1   0   1 # 14955 # 16421 # -1 # ID=121_12;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.704
k99_509_4            -          K19588               -           5.9e-115  384.2   0.0  7.3e-115  383.9   0.0   1.0   1   0   0   1   1   0   1 # 2816 # 4273 # -1 # ID=56_4;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.674
k99_1436_6           -          K19588               -           1.6e-113  379.4   1.8    2e-113  379.1   1.8   1.0   1   0   0   1   1   0   1 # 7846 # 9297 # -1 # ID=158_6;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.701
k99_1768_21          -          K19588               -           1.1e-111  373.4   0.0  1.3e-111  373.1   0.0   1.0   1   0   0   1   1   0   1 # 17036 # 18526 # -1 # ID=197_21;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.711
k99_1372_20          -          K19588               -           4.2e-111  371.5   0.0  5.7e-111  371.1   0.0   1.0   1   0   0   1   1   0   1 # 23831 # 25276 # 1 # ID=150_20;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.716
k99_575_2            -          K19588               -             1e-108  363.6   0.4  1.3e-108  363.3   0.4   1.0   1   0   0   1   1   0   1 # 1245 # 2702 # 1 # ID=62_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.710
k99_1004_5           -          K19588               -           1.9e-105  352.8   0.1  2.3e-105  352.6   0.1   1.0   1   0   0   1   1   0   1 # 4016 # 5485 # -1 # ID=103_5;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.725
k99_1024_36          -          K19588               -            1.9e-98  329.8   2.0   2.1e-98  329.6   2.0   1.0   1   0   0   1   1   0   1 # 33509 # 34954 # 1 # ID=107_36;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.697
k99_508_6            -          K19588               -            2.6e-91  306.2   0.0   3.2e-91  305.9   0.0   1.0   1   0   0   1   1   0   1 # 5845 # 7377 # 1 # ID=55_6;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.707
NC_022357.1_393      -          K19588               -            2.4e-90  303.1   0.0   2.8e-90  302.8   0.0   1.0   1   0   0   1   1   0   1 # 414613 # 415977 # -1 # ID=1_393;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.577
k99_1053_12          -          K19588               -            1.5e-89  300.4   0.1   1.9e-89  300.1   0.1   1.0   1   0   0   1   1   0   1 # 12254 # 13795 # -1 # ID=111_12;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.706
NZ_DF967525.1_64     -          K19588               -            1.1e-87  294.3   0.0   1.3e-87  294.0   0.0   1.0   1   0   0   1   1   0   1 # 72396 # 73760 # 1 # ID=73_64;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.605
k99_1794_35          -          K19588               -            5.5e-87  292.0   0.0   6.7e-87  291.7   0.0   1.0   1   0   0   1   1   0   1 # 37658 # 39022 # -1 # ID=158_35;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.633
k99_2232_32          -          K19588               -            1.7e-84  283.7   0.1   2.3e-84  283.3   0.1   1.0   1   0   0   1   1   0   1 # 27800 # 29197 # -1 # ID=254_32;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.732
k99_355_3            -          K19588               -            2.2e-80  270.2   0.1   3.2e-80  269.6   0.1   1.1   1   0   0   1   1   0   1 # 1443 # 4580 # 1 # ID=34_3;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.713
k99_2140_34          -          K19588               -            1.9e-48  164.8   0.0   2.8e-48  164.3   0.0   1.1   1   0   0   1   1   0   1 # 34180 # 35877 # 1 # ID=243_34;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.709
k99_1040_18          -          K19588               -            1.4e-39  135.6   0.1     2e-39  135.1   0.1   1.1   1   0   0   1   1   0   1 # 16935 # 18965 # 1 # ID=109_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.703
k99_750_1            -          K19588               -            2.1e-39  135.0   1.0   2.8e-39  134.6   1.0   1.1   1   0   0   1   1   0   1 # 184 # 1782 # -1 # ID=76_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.754
k99_2005_4           -          K19588               -            1.1e-26   93.1   0.0     1e-24   86.6   0.0   2.1   2   0   0   2   2   0   1 # 1587 # 3098 # 1 # ID=224_4;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.741
k99_1794_4           -          K19588               -            6.5e-16   57.6   4.3   2.5e-08   32.6   0.0   2.6   3   0   0   3   3   0   2 # 4158 # 5414 # 1 # ID=158_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.650
NC_022357.1_56       -          K19588               -              7e-16   57.5   7.3   4.9e-09   34.9   0.0   2.6   2   1   0   2   2   0   2 # 68284 # 69540 # 1 # ID=1_56;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.622
NZ_DF967532.1_8      -          K19588               -            1.4e-15   56.4   5.9   6.1e-08   31.3   0.0   2.6   2   1   0   2   2   0   2 # 5002 # 6258 # -1 # ID=66_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.632
k99_1201_2           -          K19588               -              4e-11   41.8   1.6   6.5e-11   41.1   0.9   1.6   2   0   0   2   2   0   1 # 232 # 2907 # -1 # ID=129_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.668
k99_1469_35          -          K19588               -            1.2e-10   40.1   2.0   3.5e-06   25.5   1.1   2.1   2   0   0   2   2   0   2 # 34105 # 35397 # -1 # ID=162_35;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.735
k99_979_41           -          K19588               -             0.0095   14.1   0.0    0.0099   14.1   0.0   1.0   1   0   0   1   1   0   1 # 45801 # 46022 # -1 # ID=102_41;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.640
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K19588.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K19588.hmm.total.hmmsearch_result.txt --domT 697.67 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K19588.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:12:02 2020
# [ok]
