#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
k99_1400_6           -          K19220               -            2.6e-35  121.5   0.2   4.2e-35  120.8   0.2   1.3   1   0   0   1   1   0   1 # 7359 # 9002 # -1 # ID=117_6;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.592
NZ_DF967563.1_9      -          K19220               -            6.1e-34  117.0   3.4   1.7e-23   82.6   1.7   2.1   1   1   1   2   2   0   2 # 11270 # 12988 # -1 # ID=35_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.575
NC_022357.1_1149     -          K19220               -            1.1e-33  116.2   3.5   1.4e-23   82.9   1.8   2.1   1   1   1   2   2   0   2 # 1182399 # 1184108 # -1 # ID=1_1149;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.562
k99_2255_4           -          K19220               -            1.3e-22   79.7   0.1   1.5e-22   79.5   0.1   1.0   1   0   0   1   1   0   1 # 3408 # 3935 # 1 # ID=214_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.561
NZ_DF967528.1_43     -          K19220               -            7.5e-22   77.2   0.1   8.9e-22   77.0   0.1   1.0   1   0   0   1   1   0   1 # 42461 # 42988 # 1 # ID=70_43;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.557
NC_022357.1_1722     -          K19220               -            9.6e-20   70.3   0.1   1.1e-19   70.1   0.1   1.0   1   0   0   1   1   0   1 # 1786367 # 1786897 # 1 # ID=1_1722;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.565
k99_700_16           -          K19220               -            2.5e-18   65.6   0.0   1.6e-11   43.2   0.0   2.2   2   0   0   2   2   0   2 # 14070 # 15638 # 1 # ID=75_16;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.720
k99_700_17           -          K19220               -            2.5e-18   65.6   0.0   1.6e-11   43.2   0.0   2.2   2   0   0   2   2   0   2 # 15791 # 17359 # -1 # ID=75_17;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.720
k99_2217_9           -          K19220               -              2e-12   46.1   0.1     3e-12   45.6   0.1   1.2   1   0   0   1   1   0   1 # 10280 # 11323 # -1 # ID=211_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.566
NZ_DF967524.1_72     -          K19220               -            6.1e-11   41.3   0.1   9.3e-11   40.7   0.1   1.3   1   0   0   1   1   0   1 # 70635 # 71528 # 1 # ID=74_72;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.539
NC_022357.1_1104     -          K19220               -            5.4e-10   38.2   0.2   8.4e-10   37.5   0.2   1.3   1   0   0   1   1   0   1 # 1123311 # 1124204 # 1 # ID=1_1104;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.549
NC_022357.1_9        -          K19220               -             0.0058   15.0   0.0     0.011   14.1   0.0   1.4   1   0   0   1   1   0   1 # 10880 # 11914 # -1 # ID=1_9;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.544
NZ_DF967522.1_242    -          K19220               -             0.0079   14.6   0.0     0.015   13.7   0.0   1.4   1   0   0   1   1   0   1 # 287804 # 288838 # -1 # ID=76_242;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.546
k99_338_11           -          K19220               -              0.037   12.4   0.0     0.047   12.0   0.0   1.2   1   0   0   1   1   0   0 # 4877 # 5347 # 1 # ID=31_11;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.754
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /slowdata/data1/Genome_profile_software/kofam_database/profiles/K19220.hmm
# Target file:     S_denitrificans_genomes//total.faa
# Option settings: hmmsearch --tblout S_denitrificans_METABOLIC-G_out/intermediate_files/Hmmsearch_Outputs/K19220.hmm.total.hmmsearch_result.txt --domT 499.00 --cpu 1 /slowdata/data1/Genome_profile_software/kofam_database/profiles/K19220.hmm S_denitrificans_genomes//total.faa 
# Current dir:     /slowdata/data3/Northwestern_Metagenomes
# Date:            Mon Sep 21 03:11:52 2020
# [ok]
